Animal_Age_Group,Animal_Gender,ZMusic_Usage_Period,Z_Device,ZMusic_Plan,ZPremium_Willingness,Preferred_ZPremium,Preferred_ZContent,Fav_ZMusic_Genre,ZMusic_Time_Slot,Z_Mental_Health_Mood,ZMusic_Listening_Frequency,ZMusic_Discovery_Method,ZMusic_Recommendation_Rating,ZPodcast_Listening_Frequency,Fav_ZPodcast_Genre,Preferred_ZPodcast_Format,ZPodcast_Host_Preference,Preferred_ZPodcast_Duration,Z_Life_Satisfaction
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,,Night,Relaxation and stress relief,While Traveling,Others,4.0,Never,Health and Fitness,Interview,Well known individuals,Shorter,Ok
20-35,Female,,Smartphone,Free (ad-supported),Yes,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3.0,Rarely,Comedy,,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,,No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Relaxation and stress relief,"Office hours, While Traveling","recommendations, Playlists",4.0,Rarely,Health and Fitness,Story telling,Well known individuals,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Playlists, Radio",4.0,Rarely,Comedy,,Both,Both,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,,Playlists,5.0,Never,None,None,None,None,Dissatisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3.0,,Food and cooking,Conversational,Both,Both,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3.0,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational",,Radio,1.0,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Radio, Others",3.0,Several times a week,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Social gatherings or parties,While Traveling,"Others, Friends",4.0,Rarely,Comedy,None,None,None,Dissatisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Morning,Relaxation and stress relief,While Traveling,"recommendations, Others",5.0,Several times a week,Health and Fitness,Story telling,Both,Both,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,recommendations,5.0,Rarely,Comedy,,Both,Both,Ok
20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists, Others",3.0,,"Political, informative, topics that interests me",Conversational,Both,Both,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time",Playlists,4.0,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists",4.0,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Electronic/Dance,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Others, Social media",3.0,Rarely,Sports,Educational,Well known individuals,Shorter,Dissatisfied
20-35,Female,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sadness or melancholy,leisure time,recommendations,3.0,Never,None,Conversational,Well known individuals,Shorter,Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,classical,Night,Relaxation and stress relief,While Traveling,"recommendations, Playlists",4.0,Never,None,None,None,None,Ok
60+,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",4.0,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists",5.0,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling","recommendations, Playlists",5.0,Rarely,Lifestyle and Health,Conversational,Well known individuals,Both,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,,Relaxation and stress relief,While Traveling,Playlists,4.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Radio",3.0,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4.0,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Kpop,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,Playlists,3.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Radio",4.0,Never,None,None,None,None,Ok
12-20,Male,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Morning,Relaxation and stress relief,While Traveling,Playlists,4.0,Rarely,Sports,Interview,Both,Shorter,Ok
20-35,,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","recommendations, Playlists",3.0,Never,None,None,None,None,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists",3.0,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Female,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Radio",4.0,Rarely,Novels,Story telling,Both,Both,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","Playlists, Others",3.0,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,3.0,Rarely,Food and cooking,Conversational,unknown Podcasters,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Uplifting and motivational,leisure time,Others,4.0,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,1 year to 2 years,Smartphone,,No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","recommendations, Playlists",3.0,Rarely,None,Conversational,Both,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5.0,Several times a week,Health and Fitness,Story telling,Both,Shorter,Very Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5.0,Several times a week,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Male,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3.0,Never,None,None,None,None,Very Dissatisfied
20-35,Female,More than 2 years,Smartphone,,Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time, ",Playlists,3.0,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Female,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",While Traveling,Others,4.0,,Comedy,Story telling,Both,Shorter,Satisfied
12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time",Playlists,5.0,Never,None,None,None,None,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,Office hours,Playlists,3.0,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","Playlists, Radio, Others",5.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,,Music,Melody,Night,Relaxation and stress relief,"Office hours, Study Hours, While Traveling, Workout session, leisure time",Playlists,3.0,Rarely,Lifestyle and Health,Interview,,Shorter,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Others,1.0,Never,None,None,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Wearable devices,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Uplifting and motivational,While Traveling,Playlists,4.0,Never,Food and cooking,,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Morning,Uplifting and motivational,leisure time,"recommendations, Playlists",3.0,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,1.0,,None,Educational,None,Both,Ok
,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Social gatherings or parties,Workout session,Others,2.0,Never,None,None,Well known individuals,Shorter,Ok
20-35,Female,,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Others",4.0,Never,None,None,None,None,Ok
20-35,Female,,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time",Others,4.0,Rarely,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists, Others",4.0,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok
,Female,More than 2 years,"Smartphone, Computer or laptop",,No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,"recommendations, Playlists, Others",3.0,Once a week,Health and Fitness,Conversational,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,5.0,Once a week,Food and cooking,Conversational,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Melody,Night,Sadness or melancholy,"Office hours, While Traveling",Others,4.0,Never,Food and cooking,Conversational,Both,Shorter,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,Music,All,Night,"Uplifting and motivational, Social gatherings or parties",leisure time,"recommendations, Playlists",4.0,Never,Comedy,Story telling,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Playlists",5.0,Never,None,None,None,None,Satisfied
20-35,Female,,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",leisure time,recommendations,3.0,Rarely,Comedy,Conversational,Both,Shorter,Ok
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),,Student Plan-Rs 59/month,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,recommendations,3.0,Rarely,Sports,Story telling,Both,,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session","recommendations, Playlists, Others",4.0,Rarely,Comedy,Story telling,Both,Shorter,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,While Traveling,Playlists,3.0,Never,None,None,None,None,Ok
20-35,Male,Less than 6 months,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",leisure time,recommendations,3.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,While Traveling,"recommendations, Playlists",4.0,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, leisure time",Radio,3.0,Rarely,None,None,None,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,Relaxation and stress relief,leisure time,"recommendations, Playlists",4.0,Rarely,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists",4.0,Rarely,None,None,None,None,Ok
12-20,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,3.0,Once a week,Comedy,Story telling,unknown Podcasters,Both,Ok
12-20,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rap,Morning,Relaxation and stress relief,While Traveling,recommendations,5.0,Daily,Health and Fitness,Story telling,Both,Longer,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,Social gatherings or parties,leisure time,recommendations,4.0,Rarely,None,None,None,None,Ok
20-35,Female,Less than 6 months,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4.0,Once a week,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,,Workout session,Playlists,5.0,Several times a week,Comedy,Story telling,Both,Both,Very Satisfied
35-60,Male,,Smartphone,,No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Radio,5.0,Rarely,Comedy,Educational,Well known individuals,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session",recommendations,3.0,Never,,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",4.0,Never,None,None,None,None,Satisfied
20-35,,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Electronic/Dance,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4.0,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time","recommendations, Playlists",4.0,Once a week,Lifestyle and Health,Story telling,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Sadness or melancholy,While Traveling,recommendations,,Rarely,None,Conversational,Both,Both,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,1.0,,None,None,None,None,Very Dissatisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Playlists",3.0,Rarely,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3.0,Once a week,Comedy,None,None,Both,Ok
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",,Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Radio, Others",5.0,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,"Workout session, leisure time",Playlists,4.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,Sadness or melancholy,"Workout session, leisure time",Others,4.0,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5.0,Never,None,None,None,None,Satisfied
12-20,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,,Night,Relaxation and stress relief,"Study Hours, Workout session, leisure time","recommendations, Playlists",5.0,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,,Podcast,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4.0,Several times a week,Lifestyle and Health,Conversational,Both,Both,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Sadness or melancholy,While Traveling,"Others, Search",4.0,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists, Others",5.0,Rarely,Food and cooking,Conversational,,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,,Morning,Relaxation and stress relief,Study Hours,Playlists,3.0,Never,None,Story telling,unknown Podcasters,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4.0,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3.0,Rarely,Comedy,None,None,Shorter,Ok
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Others",3.0,Once a week,Sports,None,None,None,Ok
,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,3.0,Rarely,Sports,Educational,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3.0,Several times a week,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,2.0,Rarely,Comedy,Educational,Both,Longer,
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Playlists",3.0,Rarely,None,None,None,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Duo plan- Rs 149/month,Music,Melody,Afternoon,"Relaxation and stress relief, Social gatherings or parties","Office hours, While Traveling, ",recommendations,4.0,Several times a week,None,None,None,None,Ok
20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time",recommendations,4.0,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time",Others,3.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",,4.0,,Lifestyle and Health,Educational,Both,,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4.0,Once a week,Lifestyle and Health,Conversational,Well known individuals,Both,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, leisure time",recommendations,4.0,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,Smartphone,,No,None,,Melody,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,Playlists,4.0,Rarely,Food and cooking,Conversational,Both,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4.0,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, leisure time",Playlists,3.0,Never,None,None,None,None,Ok
20-35,Male,1 year to 2 years,Smartphone,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Music,Rock,Morning,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,3.0,Never,None,None,Well known individuals,Shorter,Dissatisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, Workout session, leisure time","recommendations, Playlists",4.0,Once a week,Comedy,Conversational,Well known individuals,Shorter,Satisfied
20-35,Female,Less than 6 months,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation and stress relief,leisure time,Others,3.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,5.0,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, leisure time","recommendations, Others",5.0,Rarely,Self help,Story telling,Both,Shorter,Satisfied
20-35,Female,,Smartphone,Free (ad-supported),No,None,Music,,Night,Relaxation and stress relief,leisure time,Others,3.0,Never,None,Conversational,Well known individuals,None,Ok
20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5.0,Rarely,Comedy,Story telling,Both,Shorter,
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,4.0,Rarely,Lifestyle and Health,Educational,unknown Podcasters,Shorter,Satisfied
